workers	size	messages/s
1	1	291.15
1	2	476.29
1	4	832.21
1	8	1014.45
1	16	933.65
1	32	772.73
2	1	413.82
2	2	589.36
2	4	833.96
2	8	941.15
2	16	849.73
2	32	702.35
4	1	424.26
4	2	589.58
4	4	834.94
4	8	938.41
4	16	852.24
4	32	700.00
6	1	423.79
6	2	588.00
6	4	835.72
6	8	940.07
6	16	849.74
6	32	696.76
8	1	426.48
8	2	587.99
8	4	833.96
8	8	941.05
8	16	853.09
8	32	702.41
10	1	425.87
10	2	587.55
10	4	834.25
10	8	941.10
10	16	850.84
10	32	716.34
12	1	423.07
12	2	586.42
12	4	831.68
12	8	934.88
12	16	844.50
12	32	695.84
